Age,Gender,Marital Status,"How many children do you have, if any?",Education Level,Employment Status,Monthly Household Income,Did you vote in the previous election?,"If you didn't vote, what was the reason?",Would you be willing to vote in the next election?,How interested are you in politics?,How do you get your news and information about politics?/Other,"If other, specify.",Key Issues Summary,News Sources Summary
50-59,Male,Married,3.0,Tertiary,Self-employed,10001-20000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Healthcare Affordable Housing Crime and Safety Transportation/Infrastructure Environment/Climate Change Taxes Social Justice/Equality; 1.0; 1.0; 0.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0,TV News Social Media Print Newspapers Online News Websites Radio; 1.0; 1.0; 1.0; 1.0; 1.0
20-29,Male,Single,0.0,Tertiary,Employed,10001-20000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Healthcare Jobs/Employment Affordable Housing Crime and Safety Transportation/Infrastructure Environment/Climate Change Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0,TV News Social Media Print Newspapers Online News Websites Radio; 1.0; 1.0; 1.0; 1.0; 1.0
40-49,Female,Married,3.0,Secondary,Self-employed,10001-20000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Taxes Crime and Safety Jobs/Employment; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
20-29,Male,Single,0.0,Tertiary,Student,Less than 10000,No,I didn't think my vote would make a difference,Not sure,Slightly interested,0.0,Not specified,Crime and Safety Jobs/Employment Environment/Climate Change Taxes; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0,TV News Social Media Online News Websites; 1.0; 1.0; 0.0; 1.0; 0.0
20-29,Male,Single,0.0,Primary,Self-employed,Less than 10000,No,I didn't think my vote would make a difference,Not sure,Slightly interested,0.0,Not specified,Crime and Safety Jobs/Employment Education; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
40-49,Female,Married,5.0,Secondary,Self-employed,10001-20000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Taxes Environment/Climate Change Transportation/Infrastructure Jobs/Employment Healthcare; 1.0; 1.0; 1.0; 0.0; 0.0; 1.0; 1.0; 1.0; 0.0; 0.0,TV News Print Newspapers Radio; 1.0; 0.0; 1.0; 0.0; 1.0
50-59,Female,Married,4.0,Secondary,Self-employed, 20001-30000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Transportation/Infrastructure Taxes; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0,Radio TV News; 1.0; 0.0; 0.0; 0.0; 1.0
40-49,Male,Married,6.0,Tertiary,Employed, 20001-30000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Healthcare Jobs/Employment Crime and Safety Taxes; 1.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Radio Print Newspapers; 1.0; 0.0; 1.0; 0.0; 1.0
30-39,Female,Divorced,1.0,Secondary,Self-employed,10001-20000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Transportation/Infrastructure Taxes Healthcare; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0,TV News Radio Social Media; 1.0; 1.0; 0.0; 0.0; 1.0
50-59,Male,Married,3.0,Tertiary,Unemployed, 20001-30000,No,I didn't have time,Very likely,Slightly interested,0.0,Not specified,Crime and Safety Social Justice/Equality Healthcare; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
<20,Male,Single,0.0,Tertiary,Unemployed,Less than 10000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Healthcare Jobs/Employment Environment/Climate Change; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0,TV News Social Media Radio; 1.0; 1.0; 0.0; 0.0; 1.0
<20,Male,Single,0.0,Secondary,Student,Unknown,No,Other,Very likely,Interested,0.0,Not specified,Education Taxes Jobs/Employment; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media Radio; 1.0; 1.0; 0.0; 0.0; 1.0
40-49,Male,Widowed,3.0,Secondary,Self-employed,10001-20000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Healthcare Transportation/Infrastructure Jobs/Employment; 0.0; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
30-39,Female,Married,2.0,Tertiary,Employed, 40001-50000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Education Healthcare Jobs/Employment Affordable Housing Crime and Safety Transportation/Infrastructure Environment/Climate Change Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0,TV News Social Media Radio Print Newspapers; 1.0; 1.0; 1.0; 0.0; 1.0
60,Female,Widowed,6.0,Tertiary,Self-employed, 20001-30000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Transportation/Infrastructure Healthcare Education; 1.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
30-39,Female,Married,4.0,Secondary,Self-employed,10001-20000,Yes,No reason provided,Very Unlikely,Slightly interested,0.0,Not specified,Crime and Safety Education Healthcare; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Online News Websites; 1.0; 0.0; 0.0; 1.0; 0.0
30-39,Male,Married,2.0,Tertiary,Employed, 20001-30000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Jobs/Employment Healthcare; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media Radio; 1.0; 1.0; 0.0; 0.0; 1.0
20-29,Female,Single,0.0,Tertiary,Student,60k+,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Healthcare Jobs/Employment Affordable Housing Crime and Safety Transportation/Infrastructure Environment/Climate Change Taxes Social Justice/Equality Education; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0,TV News Social Media Print Newspapers Online News Websites Radio; 1.0; 1.0; 1.0; 1.0; 1.0
<20,Male,Single,0.0,Secondary,Student, 20001-30000,No,I was not eligible to vote,Very likely,Interested,0.0,Not specified,Jobs/Employment Crime and Safety Social Justice/Equality Healthcare Education; 1.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0,TV News Social Media Online News Websites; 1.0; 1.0; 0.0; 1.0; 0.0
20-29,Male,Married,1.0,Secondary,Self-employed,10001-20000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Healthcare Jobs/Employment; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
40-49,Female,Married,5.0,Tertiary,Employed,60k+,Yes,No reason provided,Not sure,Slightly interested,0.0,Not specified,Education Healthcare Social Justice/Equality; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
30-39,Female,Married,3.0,Tertiary,Self-employed,10001-20000,Yes,No reason provided,Very Unlikely,Not at all Interested,0.0,Not specified,Education Healthcare Jobs/Employment; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media; 0.0; 1.0; 0.0; 0.0; 0.0
20-29,Male,Single,0.0,Tertiary,Employed,10001-20000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Healthcare Jobs/Employment; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
60,Male,Married,8.0,Tertiary,Employed, 40001-50000,Yes,No reason provided,Likely,Very Interested,0.0,Not specified,Education Healthcare Social Justice/Equality; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
20-29,Female,Single,0.0,Tertiary,Employed, 20001-30000,Yes,No reason provided,Unlikely,Not at all Interested,0.0,Not specified,Education Transportation/Infrastructure Crime and Safety; 1.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
40-49,Male,Married,5.0,Secondary,Student,Less than 10000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Social Justice/Equality Healthcare; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0,Social Media; 0.0; 1.0; 0.0; 0.0; 0.0
50-59,Male,Married,4.0,Secondary,Self-employed, 20001-30000,Yes,No reason provided,Not sure,Slightly interested,0.0,Not specified,Education Healthcare Jobs/Employment; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
30-39,Female,Divorced,2.0,Tertiary,Employed, 40001-50000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Healthcare Social Justice/Equality; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
20-29,Female,Married,2.0,Tertiary,Self-employed,10001-20000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Healthcare Social Justice/Equality; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
50-59,Female,Married,8.0,Secondary,Employed,10001-20000,Yes,No reason provided,Not sure,Slightly interested,0.0,Not specified,Education Healthcare Jobs/Employment; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
20-29,Female,Single,0.0,Tertiary,Unemployed,Less than 10000,Yes,I was not eligible to vote,Likely,Slightly interested,0.0,People talks about politics,Education Healthcare Jobs/Employment; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Radio TV News; 1.0; 0.0; 0.0; 0.0; 1.0
<20,Female,Single,0.0,Tertiary,Student,Less than 10000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Education Jobs/Employment Taxes; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media Radio; 1.0; 1.0; 0.0; 0.0; 1.0
40-49,Male,Married,2.0,Tertiary,Employed, 40001-50000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Healthcare Taxes; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media Print Newspapers Radio Online News Websites; 1.0; 1.0; 1.0; 1.0; 1.0
60,Male,Widowed,7.0,Secondary,Unemployed, 20001-30000,No,I didn't think my vote would make a difference,Unlikely,Slightly interested,0.0,Not specified,Healthcare Affordable Housing Crime and Safety Transportation/Infrastructure Social Justice/Equality; 0.0; 1.0; 0.0; 1.0; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
20-29,Female,Married,1.0,Tertiary,Employed, 40001-50000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Healthcare Jobs/Employment Education Crime and Safety Transportation/Infrastructure Social Justice/Equality Taxes; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.0,TV News Social Media Print Newspapers Online News Websites Radio; 1.0; 1.0; 1.0; 1.0; 1.0
20-29,Female,Married,1.0,Secondary,Self-employed,10001-20000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Healthcare Jobs/Employment Taxes; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,Social Media TV News Radio; 1.0; 1.0; 0.0; 0.0; 1.0
60,Female,Widowed,8.0,Primary,Unemployed,Less than 10000,No,Other,Very likely,Slightly interested,0.0,Not specified,Healthcare Crime and Safety Transportation/Infrastructure; 0.0; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
30-39,Male,Single,0.0,Unknown,Employed, 40001-50000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Healthcare Jobs/Employment Affordable Housing Crime and Safety Transportation/Infrastructure Environment/Climate Change Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0,TV News Social Media Print Newspapers Online News Websites; 1.0; 1.0; 1.0; 1.0; 0.0
30-39,Female,Divorced,2.0,Tertiary,Employed, 40001-50000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Healthcare Jobs/Employment Crime and Safety Transportation/Infrastructure Environment/Climate Change Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0,TV News Print Newspapers Social Media; 1.0; 1.0; 1.0; 0.0; 0.0
30-39,Male,Married,2.0,Tertiary,Employed, 40001-50000,No,I didn't have time,Likely,Slightly interested,0.0,Not specified,Taxes Healthcare Social Justice/Equality Crime and Safety; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0,TV News Social Media Print Newspapers Online News Websites Radio; 1.0; 1.0; 1.0; 1.0; 1.0
30-39,Male,Married,3.0,Secondary,Unemployed,Less than 10000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Taxes; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
20-29,Male,Married,1.0,Tertiary,Self-employed,Less than 10000,Yes,No reason provided,Very Unlikely,Slightly interested,0.0,Not specified,Environment/Climate Change; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
20-29,Male,Single,0.0,Tertiary,Self-employed,Less than 10000,Yes,No reason provided,Very likely,Slightly interested,0.0,Not specified,Jobs/Employment; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Online News Websites; 0.0; 0.0; 0.0; 1.0; 0.0
<20,Male,Married,1.0,Secondary,Self-employed,Less than 10000,Yes,No reason provided,Likely,Slightly interested,0.0,Not specified,Jobs/Employment; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
20-29,Female,Married,1.0,Secondary,Self-employed,Less than 10000,Yes,No reason provided,Not sure,Not at all Interested,0.0,Not specified,Taxes; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
20-29,Female,Married,2.0,Secondary,Self-employed,10001-20000,Yes,No reason provided,Not sure,Slightly interested,0.0,Not specified,Transportation/Infrastructure; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,Online News Websites; 0.0; 0.0; 0.0; 1.0; 0.0
40-49,Female,Married,4.0,Secondary,Self-employed,Less than 10000,Yes,No reason provided,Not sure,Slightly interested,0.0,Not specified,Healthcare; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
30-39,Male,Married,3.0,Primary,Self-employed,10001-20000,No,I didn't have time,Not sure,Slightly interested,0.0,Not specified,Taxes; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,Social Media TV News; 1.0; 1.0; 0.0; 0.0; 0.0
20-29,Male,Single,0.0,Secondary,Unemployed,Less than 10000,Yes,No reason provided,Not sure,Slightly interested,0.0,Not specified,Jobs/Employment; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Online News Websites TV News; 1.0; 0.0; 0.0; 1.0; 0.0
20-29,Female,Single,0.0,Secondary,Employed,Less than 10000,No,I was not eligible to vote,Likely,Slightly interested,0.0,Not specified,Jobs/Employment; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
30-39,Male,Married,1.0,Tertiary,Self-employed,60k+,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Healthcare Jobs/Employment Crime and Safety Affordable Housing Transportation/Infrastructure Environment/Climate Change Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0,TV News Social Media Print Newspapers Online News Websites Radio; 1.0; 1.0; 1.0; 1.0; 1.0
20-29,Male,Married,1.0,Secondary,Unemployed,Less than 10000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Healthcare Education Jobs/Employment; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Radio Social Media; 0.0; 1.0; 0.0; 0.0; 1.0
40-49,Female,Widowed,5.0,Primary,Unemployed,Less than 10000,Yes,No reason provided,Not sure,Slightly interested,0.0,Not specified,Healthcare Jobs/Employment Education; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
50-59,Female,Married,4.0,Secondary,Self-employed, 20001-30000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Education Healthcare Jobs/Employment Taxes Environment/Climate Change Transportation/Infrastructure; 1.0; 1.0; 1.0; 0.0; 0.0; 1.0; 1.0; 1.0; 0.0; 0.0,TV News Social Media Print Newspapers Radio Online News Websites; 1.0; 1.0; 1.0; 1.0; 1.0
30-39,Male,Married,2.0,Secondary,Employed,10001-20000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Jobs/Employment Healthcare Education; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Radio TV News Social Media; 1.0; 1.0; 0.0; 0.0; 1.0
40-49,Female,Married,2.0,Secondary,Self-employed,10001-20000,Yes,No reason provided,Likely,Not at all Interested,0.0,Not specified,Crime and Safety Taxes Healthcare; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media Online News Websites; 1.0; 1.0; 0.0; 1.0; 0.0
50-59,Female,Married,2.0,Tertiary,Self-employed,Less than 10000,Yes,No reason provided,Very likely,Not at all Interested,0.0,Not specified,Taxes; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,Social Media TV News Online News Websites; 1.0; 1.0; 0.0; 1.0; 0.0
50-59,Male,Married,4.0,Primary,Unemployed,Less than 10000,No,I didn't have time,Not sure,Slightly interested,0.0,Not specified,Education Healthcare Jobs/Employment; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
30-39,Female,Married,3.0,Tertiary,Self-employed,Less than 10000,No,I didn't like the candidates,Likely,Not at all Interested,0.0,Not specified,Jobs/Employment Healthcare Crime and Safety; 0.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
50-59,Female,Divorced,8.0,Primary,Unemployed,Less than 10000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Healthcare Jobs/Employment Education; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
50-59,Male,Married,4.0,Primary,Self-employed,10001-20000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Healthcare Jobs/Employment; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Radio Social Media; 0.0; 1.0; 0.0; 0.0; 1.0
<20,Male,Single,0.0,Secondary,Student,Less than 10000,No,I was not eligible to vote,Very likely,Very Interested,0.0,Not specified,Education Healthcare Jobs/Employment Crime and Safety Transportation/Infrastructure; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
60,Female,Married,7.0,Secondary,Unemployed,10001-20000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Healthcare Environment/Climate Change Jobs/Employment; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0,TV News Radio Social Media; 1.0; 1.0; 0.0; 0.0; 1.0
20-29,Male,Single,0.0,Primary,Employed,Less than 10000,No,I didn't think my vote would make a difference,Not sure,Slightly interested,0.0,Not specified,Healthcare Jobs/Employment Social Justice/Equality; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0,Radio Social Media; 0.0; 1.0; 0.0; 0.0; 1.0
20-29,Female,Single,0.0,Secondary,Self-employed,Less than 10000,No,I didn't like the candidates,Not sure,Not at all Interested,0.0,Not specified,Jobs/Employment Environment/Climate Change Affordable Housing; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
20-29,Female,Married,1.0,Secondary,Self-employed,10001-20000,Yes,Other,Not sure,Interested,0.0,Not specified,Jobs/Employment Affordable Housing Other ; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
<20,Male,Single,0.0,Secondary,Student,Less than 10000,No,I was not eligible to vote,Unlikely,Slightly interested,0.0,Not specified,Transportation/Infrastructure Jobs/Employment Education; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,Radio Social Media TV News; 1.0; 1.0; 0.0; 0.0; 1.0
20-29,Male,Married,0.0,Secondary,Self-employed,Less than 10000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Education Healthcare Jobs/Employment; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Radio; 0.0; 0.0; 0.0; 0.0; 1.0
20-29,Male,Single,0.0,Tertiary,Unemployed,Less than 10000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Healthcare Jobs/Employment Transportation/Infrastructure; 1.0; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media Online News Websites Radio; 1.0; 1.0; 0.0; 1.0; 1.0
40-49,Female,Married,4.0,Secondary,Employed,10001-20000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Healthcare Jobs/Employment; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media Radio; 1.0; 1.0; 0.0; 0.0; 1.0
50-59,Female,Married,5.0,Secondary,Self-employed, 20001-30000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Healthcare Jobs/Employment Taxes Social Justice/Equality Transportation/Infrastructure Crime and Safety; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.0,TV News Social Media Print Newspapers Radio; 1.0; 1.0; 1.0; 0.0; 1.0
20-29,Male,Married,2.0,Secondary,Employed,10001-20000,Yes,No reason provided,Unlikely,Very Interested,0.0,Not specified,Education Healthcare Affordable Housing Jobs/Employment Crime and Safety Taxes; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media Radio Online News Websites; 1.0; 1.0; 0.0; 1.0; 1.0
30-39,Female,Married,4.0,Secondary,Employed,Less than 10000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Education Healthcare Affordable Housing Taxes Transportation/Infrastructure; 1.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0,TV News Social Media Online News Websites; 1.0; 1.0; 0.0; 1.0; 0.0
30-39,Male,Divorced,3.0,Primary,Employed,10001-20000,Yes,No reason provided,Not sure,Interested,0.0,Not specified,Education Healthcare Jobs/Employment Affordable Housing Crime and Safety Transportation/Infrastructure Environment/Climate Change Taxes Social Justice/Equality; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0,TV News Social Media Print Newspapers; 1.0; 1.0; 1.0; 0.0; 0.0
30-39,Male,Divorced,2.0,Tertiary,Self-employed,10001-20000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Affordable Housing Transportation/Infrastructure Healthcare; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
20-29,Male,Single,0.0,Tertiary,Self-employed, 20001-30000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Education Healthcare Jobs/Employment; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media Online News Websites; 0.0; 1.0; 0.0; 1.0; 0.0
20-29,Female,Single,0.0,Secondary,Unemployed,10001-20000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Healthcare Social Justice/Equality Education; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
40-49,Male,Married,4.0,Tertiary,Employed, 20001-30000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Crime and Safety Healthcare Transportation/Infrastructure; 0.0; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
30-39,Female,Married,2.0,Secondary,Self-employed,Less than 10000,Yes,No reason provided,Likely,Interested,0.0,Not specified,Jobs/Employment Affordable Housing Transportation/Infrastructure Healthcare; 0.0; 1.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
